Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
11,Hugh Millen,28,NWE,QB,13,13,5-8-0,246,409,60.1,3073,9,2.2,18,4.4,60,7.5,5.97,12.5,236.4,72.5,54,379,11.66,5.82,4.46,3,4,,MillHu00
12,Steve DeBerg,37,KAN,QB,16,15,10-5-0,256,434,59.0,2965,17,3.9,14,3.2,63,6.8,6.16,11.6,185.3,79.3,19,161,4.19,6.19,5.55,1,1,,DebeSt00
13,Jeff George,24,IND,QB,16,16,1-15-0,292,485,60.2,2910,10,2.1,12,2.5,49,6.0,5.30,10.0,181.9,73.8,56,481,10.35,4.49,3.86,0,0,,GeorJe00
14,John Friesz,24,SDG,QB,16,16,4-12-0,262,487,53.8,2896,12,2.5,15,3.1,58,5.9,5.05,11.1,181.0,67.1,32,214,6.17,5.17,4.33,2,3,,FrieJo00
15,Boomer Esiason,30,CIN,QB,14,14,3-11-0,233,413,56.4,2883,13,3.1,16,3.9,53,7.0,5.87,12.4,205.9,72.5,25,190,5.71,6.15,5.10,2,2,,EsiaBo00
16,Troy Aikman,25,DAL,QB,12,12,7-5-0,237,363,65.3,2754,11,3.0,10,2.8,61,7.6,6.95,11.6,229.5,86.7,32,224,8.10,6.41,5.82,2,2,PB,AikmTr00
17,Jay Schroeder,30,RAI,QB,15,15,9-6-0,189,357,52.9,2562,15,4.2,16,4.5,78,7.2,6.00,13.6,170.8,71.4,31,238,7.99,5.99,4.91,2,1,,SchrJa00
18,Steve Young,30,SFO,QB,11,10,5-5-0,180,279,64.5,2517,17,6.1,8,2.9,97,9.0,8.95,14.0,228.8,101.8,13,79,4.45,8.35,8.28,0,0,,YounSt00
19,Jim McMahon,32,PHI,QB,12,11,8-3-0,187,311,60.1,2239,12,3.9,11,3.5,75,7.2,6.38,12.0,186.6,80.3,21,128,6.33,6.36,5.59,1,2,,McMaJi00
20,Rich Gannon,26,MIN,QB,15,11,6-5-0,211,354,59.6,2166,12,3.4,6,1.7,50,6.1,6.03,10.3,144.4,81.5,19,91,5.09,5.56,5.48,0,1,,GannRi00
21,Dave Krieg,33,SEA,QB,10,9,4-5-0,187,285,65.6,2080,11,3.9,12,4.2,60,7.3,6.18,11.1,208.0,82.5,32,216,10.09,5.88,4.87,0,0,,KrieDa00
22,Tom Tupa,25,PHO,QB,11,11,4-7-0,165,315,52.4,2053,6,1.9,13,4.1,62,6.5,5.04,12.4,186.6,62.0,24,197,7.08,5.47,4.10,0,0,,TupaTo20
23,Jeff Hostetler,30,NYG,QB,12,12,7-5-0,179,285,62.8,2032,5,1.8,4,1.4,55,7.1,6.85,11.4,169.3,84.1,20,100,6.56,6.33,6.07,1,2,,HostJe00
24,Vinny Testaverde,28,TAM,QB,13,12,3-9-0,166,326,50.9,1994,8,2.5,15,4.6,87,6.1,4.54,12.0,153.4,59.0,35,234,9.70,4.88,3.45,0,0,,TestVi00
25,Neil O'Donnell,25,PIT,QB,12,8,2-6-0,156,286,54.5,1963,11,3.8,7,2.4,89,6.9,6.53,12.6,163.6,78.8,30,214,9.49,5.53,5.23,1,1,,ODonNe00
26,Jeff Kemp,32,2TM,QB,14,7,3-4-0,151,295,51.2,1753,9,3.1,17,5.8,57,5.9,3.96,11.6,125.2,55.7,20,99,6.35,5.25,3.39,2,2,,KempJe00
26,Jeff Kemp,32,SEA,QB,7,5,2-3-0,94,181,51.9,1207,4,2.2,12,6.6,38,6.7,4.13,12.8,172.4,52.9,8,38,4.23,6.19,3.75,0,0,,KempJe00
26,Jeff Kemp,32,PHI,QB,7,2,1-1-0,57,114,50.0,546,5,4.4,5,4.4,57,4.8,3.69,9.6,78.0,60.1,12,61,9.52,3.85,2.86,2,2,,KempJe00
27,Bobby Hebert,31,NOR,QB,9,9,8-1-0,149,248,60.1,1676,9,3.6,8,3.2,65,6.8,6.03,11.2,186.2,79.0,16,134,6.06,5.84,5.16,1,1,,HebeBo00
28,Steve Walsh,25,NOR,QB,8,7,3-4-0,141,255,55.3,1638,11,4.3,6,2.4,41,6.4,6.23,11.6,204.8,79.5,3,26,1.16,6.25,6.05,0,0,,WalsSt00
29,Erik Kramer,27,DET,QB,13,8,6-2-0,136,265,51.3,1635,11,4.2,8,3.0,73,6.2,5.64,12.0,125.8,71.8,14,74,5.02,5.59,5.09,3,3,,KramEr00
30,Steve Bono,29,SFO,QB,9,6,5-1-0,141,237,59.5,1617,11,4.6,4,1.7,78,6.8,6.99,11.5,179.7,88.5,11,91,4.44,6.15,6.31,2,2,,BonoSt00
31,Mike Tomczak,29,GNB,QB,12,7,2-5-0,128,238,53.8,1490,11,4.6,9,3.8,75,6.3,5.48,11.6,124.2,72.6,13,105,5.18,5.52,4.78,0,0,,TomcMi00
32,Don Majkowski,27,GNB,QB,9,8,2-6-0,115,226,50.9,1362,3,1.3,8,3.5,39,6.0,4.70,11.8,151.3,59.3,30,152,11.72,4.73,3.55,1,1,,MajkDo00
33,Bubby Brister,29,PIT,QB,8,8,5-3-0,103,190,54.2,1350,9,4.7,9,4.7,65,7.1,5.92,13.1,168.8,72.9,15,145,7.32,5.88,4.78,0,2,,BrisBu00
34,Rodney Peete,25,DET,QB,8,8,6-2-0,116,194,59.8,1339,5,2.6,9,4.6,68,6.9,5.33,11.5,167.4,69.9,11,42,5.37,6.33,4.84,1,1,,PeetRo00
35,Phil Simms,36,NYG,QB,6,4,1-3-0,82,141,58.2,993,8,5.7,4,2.8,38,7.0,6.90,12.1,165.5,87.0,14,79,9.03,5.90,5.77,0,1,,SimmPh00
36,Steve Beuerlein,26,DAL,QB,8,4,4-0-0,68,137,49.6,909,5,3.6,2,1.5,66,6.6,6.71,13.4,113.6,77.2,6,49,4.20,6.01,6.08,2,2,,BeueSt00
37,Chris Chandler,26,2TM,QB,9,5,0-5-0,78,154,50.6,846,5,3.2,10,6.5,45,5.5,3.22,10.8,94.0,50.9,17,134,9.94,4.16,2.12,1,1,,ChanCh00
37,Chris Chandler,26,TAM,QB,6,3,0-3-0,53,104,51.0,557,4,3.8,8,7.7,35,5.4,2.66,10.5,92.8,47.6,10,76,8.77,4.22,1.76,1,1,,ChanCh00
37,Chris Chandler,26,PHO,QB,3,2,0-2-0,25,50,50.0,289,1,2.0,2,4.0,45,5.8,4.38,11.6,96.3,57.8,7,58,12.28,4.05,2.82,0,0,,ChanCh00
38,Wade Wilson,32,MIN,QB,5,5,2-3-0,72,122,59.0,825,3,2.5,10,8.2,46,6.8,3.57,11.5,165.0,53.5,8,42,6.15,6.02,3.02,0,0,,WilsWa00
39,Stan Gelbaugh,29,PHO,QB,6,3,0-3-0,61,118,51.7,674,3,2.5,10,8.5,34,5.7,2.41,11.0,112.3,42.1,10,94,7.81,4.53,1.48,0,0,,GelbSt00
40,Billy Joe Tolliver,25,ATL,QB,7,2,1-1-0,40,82,48.8,531,4,4.9,2,2.4,75,6.5,6.35,13.3,75.9,75.8,7,29,7.87,5.64,5.53,1,1,,TollBi00
41,Jeff Carlson,25,TAM,QB,3,1,0-1-0,31,65,47.7,404,1,1.5,6,9.2,36,6.2,2.37,13.0,134.7,34.4,11,73,14.47,4.36,1.07,0,0,,CarlJe00
42,Blair Kiel,30,GNB,QB,4,1,0-1-0,29,50,58.0,361,3,6.0,2,4.0,35,7.2,6.62,12.4,90.3,83.8,2,13,3.85,6.69,6.12,0,0,,KielBl00
43,Tom Hodson,24,NWE,QB,16,3,1-2-0,36,68,52.9,345,1,1.5,4,5.9,32,5.1,2.72,9.6,21.6,47.7,9,57,11.69,3.74,1.66,0,0,,HodsTo00
44,Mark Vlasic,28,KAN,QB,6,1,0-1-0,28,44,63.6,316,2,4.5,0,0.0,30,7.2,8.09,11.3,52.7,100.2,2,16,4.35,6.52,7.39,1,1,,VlasMa00
45,Donald Hollas,24,CIN,QB,8,1,0-1-0,32,55,58.2,310,1,1.8,4,7.3,23,5.6,2.73,9.7,38.8,49.8,7,57,11.29,4.08,1.50,0,0,,HollDo00
46,Frank Reich,30,BUF,QB,16,1,0-1-0,27,41,65.9,305,6,14.6,2,4.9,29,7.4,8.17,11.3,19.1,107.2,4,42,8.89,5.84,6.51,0,0,,ReicFr00
47,Brad Goebel,24,PHI,QB,5,2,0-2-0,30,56,53.6,267,0,0.0,6,10.7,26,4.8,-0.05,8.9,53.4,27.0,6,37,9.68,3.71,-0.65,0,0,,GoebBr00
48,Todd Marinovich,22,RAI,QB,1,1,0-1-0,23,40,57.5,243,3,7.5,0,0.0,26,6.1,7.58,10.6,243.0,100.3,0,0,0.00,6.08,7.58,0,0,,MariTo00
49,Erik Wilhelm,26,CIN,QB,4,1,0-1-0,24,42,57.1,217,0,0.0,2,4.8,29,5.2,3.02,9.0,54.3,51.4,1,8,2.33,4.86,2.77,0,0,,WilhEr00
50,Jeff Rutledge,34,WAS,QB,16,0,,11,22,50.0,189,1,4.5,0,0.0,40,8.6,9.50,17.2,11.8,94.7,2,20,8.33,7.04,7.88,0,0,,RutlJe00
51,Peter Tom Willis,24,CHI,QB,4,0,,11,18,61.1,171,1,5.6,1,5.6,42,9.5,8.11,15.5,42.8,88.0,2,9,10.00,8.10,6.85,0,0,,WillPe00
52,Mike Pagel,31,RAM,QB,16,0,,11,27,40.7,150,2,7.4,0,0.0,30,5.6,7.04,13.6,9.4,83.9,0,0,0.00,5.56,7.04,0,0,,PageMi00
53,Mark Herrmann,32,IND,QB,2,0,,11,19,57.9,137,0,0.0,3,15.8,26,7.2,0.11,12.5,68.5,40.8,0,0,0.00,7.21,0.11,0,0,,HerrMa00
54,Vince Evans,36,RAI,QB,4,0,,6,14,42.9,127,1,7.1,2,14.3,80,9.1,4.07,21.2,31.8,59.8,2,20,12.50,6.69,2.31,0,0,,EvanVi00
55,Cody Carlson,28,HOU,QB,3,0,,7,12,58.3,114,1,8.3,0,0.0,68,9.5,11.17,16.3,38.0,118.1,1,9,7.69,8.08,9.62,0,0,,CarlCo00
56,Pat Ryan,36,PHI,QB,4,0,,10,26,38.5,98,0,0.0,4,15.4,32,3.8,-3.15,9.8,24.5,10.3,4,21,13.33,2.57,-3.43,0,0,,RyanPa00
57,Scott Secules,27,MIA,QB,14,0,,8,13,61.5,90,1,7.7,1,7.7,17,6.9,5.00,11.3,6.4,75.8,1,6,7.14,6.00,4.21,0,0,,SecuSc00
58,Bob Gagliano,33,SDG,QB,2,0,,9,23,39.1,76,0,0.0,1,4.3,17,3.3,1.35,8.4,38.0,30.3,3,22,11.54,2.08,0.35,0,0,,GaglBo00
59,Troy Taylor,23,NYJ,QB,5,0,,5,10,50.0,76,1,10.0,1,10.0,51,7.6,5.10,15.2,15.2,69.2,0,0,0.00,7.60,5.10,0,0,,TaylTr00
60,Mike Buck,24,NOR,QB,2,0,,1,2,50.0,61,0,0.0,1,50.0,61,30.5,8.00,61.0,30.5,56.2,0,0,0.00,30.50,8.00,0,0,,BuckMi00
61,Kelly Stouffer,27,SEA,QB,2,1,0-1-0,6,15,40.0,57,0,0.0,1,6.7,19,3.8,0.80,9.5,28.5,23.5,2,9,11.76,2.82,0.18,0,0,,StouKe00
62,Todd Philcox,25,CLE,QB,4,0,,4,8,50.0,49,0,0.0,1,12.5,28,6.1,0.50,12.3,12.3,29.7,0,0,0.00,6.13,0.50,0,0,,PhilTo00
63,Craig Heyward,25,NOR,RB,7,4,,1,1,100.0,44,0,0.0,0,0.0,44,44.0,44.00,44.0,6.3,118.7,0,0,0.00,44.00,44.00,0,0,,HeywCr00
64,Jeff Gossett,34,RAI,P,16,0,,1,1,100.0,34,0,0.0,0,0.0,34,34.0,34.00,34.0,2.1,118.7,0,0,0.00,34.00,34.00,0,0,PBAP-1,GossJe20
65,Gary Kubiak,30,DEN,QB,16,0,,3,5,60.0,33,0,0.0,0,0.0,14,6.6,6.60,11.0,2.1,79.6,1,8,16.67,4.17,4.17,0,0,,KubiGa00
66,Bill Musgrave,24,SFO,QB,1,0,,4,5,80.0,33,1,20.0,0,0.0,15,6.6,10.60,8.3,33.0,133.7,0,0,0.00,6.60,10.60,0,0,,MusgBi00
67,Dan McGwire,24,SEA,QB,1,1,1-0-0,3,7,42.9,27,0,0.0,1,14.3,13,3.9,-2.57,9.0,27.0,14.3,0,0,0.00,3.86,-2.57,0,0,,McGwDa00
68,Al Toon,28,NYJ,WR,15,15,,1,1,100.0,27,0,0.0,0,0.0,27,27.0,27.00,27.0,1.8,118.7,0,0,0.00,27.00,27.00,0,0,,ToonAl00
69,Darrin Nelson,32,MIN,RB,16,0,,1,1,100.0,25,1,100.0,0,0.0,25,25.0,45.00,25.0,1.6,158.3,0,0,0.00,25.00,45.00,0,0,,NelsDa00
70,Steve Sewell,28,DEN,RB,16,1,,1,3,33.3,24,0,0.0,0,0.0,24,8.0,8.00,24.0,1.5,63.2,0,0,0.00,8.00,8.00,0,0,,SeweSt00
71,Craig Kupp,24,PHO,QB,1,0,,3,7,42.9,23,0,0.0,0,0.0,11,3.3,3.29,7.7,23.0,51.5,2,23,22.22,0.00,0.00,0,0,,KuppCr20
72,Barry Helton,26,RAM,P,3,0,,1,1,100.0,22,0,0.0,0,0.0,22,22.0,22.00,22.0,7.3,118.7,0,0,0.00,22.00,22.00,0,0,,HeltBa20
73,Randall Cunningham,28,PHI,QB,1,1,1-0-0,1,4,25.0,19,0,0.0,0,0.0,19,4.8,4.75,19.0,19.0,46.9,2,16,33.33,0.50,0.50,0,0,,CunnRa00
74,Jack Trudeau,29,IND,QB,2,0,,2,7,28.6,19,0,0.0,1,14.3,11,2.7,-3.71,9.5,9.5,0.0,1,6,12.50,1.63,-4.00,0,0,,TrudJa00
75,Earnest Byner,29,WAS,RB,16,16,,1,4,25.0,18,1,25.0,0,0.0,18,4.5,9.50,18.0,1.1,85.4,0,0,0.00,4.50,9.50,0,0,PBAP-2,ByneEa00
76,Jim Jensen,33,MIA,WR,16,0,,1,1,100.0,17,0,0.0,0,0.0,17,17.0,17.00,17.0,1.1,118.7,0,0,0.00,17.00,17.00,0,0,,JensJi00
77,Blair Thomas,24,NYJ,RB,16,12,,1,1,100.0,16,1,100.0,0,0.0,16,16.0,36.00,16.0,1.0,158.3,0,0,0.00,16.00,36.00,0,0,,ThomBl00
78,Jon Vaughn,21,NWE,RB,16,2,,1,2,50.0,13,1,50.0,0,0.0,13,6.5,16.50,13.0,0.8,110.4,0,0,0.00,6.50,16.50,0,0,,VaugJo00
79,Marcus Allen,31,RAI,RB,8,2,,1,2,50.0,11,1,50.0,0,0.0,11,5.5,15.50,11.0,1.4,106.2,0,0,0.00,5.50,15.50,0,0,,AlleMa00
80,Rod Bernstine,26,SDG,RB,13,8,,1,1,100.0,11,1,100.0,0,0.0,11,11.0,31.00,11.0,0.8,152.1,0,0,0.00,11.00,31.00,0,0,,BernRo00
81,Brian Hansen,31,CLE,P,16,0,,1,1,100.0,11,1,100.0,0,0.0,11,11.0,31.00,11.0,0.7,152.1,0,0,0.00,11.00,31.00,0,0,,HansBr20
82,Shawn McCarthy,23,NWE,P,13,0,,1,1,100.0,11,0,0.0,0,0.0,11,11.0,11.00,11.0,0.8,112.5,0,0,0.00,11.00,11.00,0,0,,McCaSh20
83,Browning Nagle,23,NYJ,QB,1,0,,1,2,50.0,10,0,0.0,0,0.0,10,5.0,5.00,10.0,10.0,64.6,0,0,0.00,5.00,5.00,0,0,,NaglBr00
84,Lee Johnson,30,CIN,P,16,0,,1,1,100.0,3,0,0.0,0,0.0,3,3.0,3.00,3.0,0.2,79.2,0,0,0.00,3.00,3.00,0,0,,johnslee01
85,Neal Anderson,27,CHI,RB,13,12,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,PB,AndeNe00
86,Keith Byars,28,PHI,FB,16,16,,0,2,0.0,0,0,0.0,1,50.0,,0.0,-22.50,,0.0,0.0,0,0,0.00,0.00,-22.50,0,0,,ByarKe00
87,Rich Camarillo,32,PHO,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,PB,camarric01
88,Brett Favre,22,ATL,QB,2,0,,0,4,0.0,0,0,0.0,2,50.0,,0.0,-22.50,,0.0,0.0,1,11,20.00,-2.20,-20.20,0,0,,FavrBr00
89,Irving Fryar,29,NWE,WR,16,15,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,FryaIr00
90,Rusty Hilger,29,IND,QB,1,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,HilgRu00
91,Mark Ingram,26,NYG,WR,16,13,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,1,2,50.00,-1.00,-1.00,0,0,,IngrMa00
92,Hassan Jones,27,MIN,WR,16,7,,0,0,,0,0,,0,,,,,,0.0,,1,0,100.00,0.00,0.00,0,0,,JoneHa00
93,Dave Meggett,25,NYG,RB,16,2,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,1,0,50.00,0.00,0.00,0,0,,MeggDa00
94,Eric Metcalf,23,CLE,RB,8,3,,0,0,,0,0,,0,,,,,,0.0,,1,11,100.00,-11.00,-11.00,0,0,,MetcEr00
95,Harry Sydney,32,SFO,RB,16,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,SydnHa00
96,Anthony Thompson,24,PHO,RB,16,4,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,ThomAn00
97,Harvey Williams,24,KAN,RB,14,1,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,AP ORoY-6,WillHa00
98,Chris Mohr,25,BUF,P,16,0,,1,1,100.0,-9,0,0.0,0,0.0,-9,-9.0,-9.00,-9.0,-0.6,79.2,0,0,0.00,-9.00,-9.00,0,0,,MohrCh20
,League Average,,,,,,,,,57.4,,,3.7,,3.5,,6.9,6.05,12.0,92.8,76.2,,,6.64,5.97,5.18,,,,-9999
