Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Warren Moon,35,HOU,QB,16,16,11-5-0,404,655,61.7,4690,23,3.5,21,3.2,61,7.2,6.42,11.6,293.1,81.7,23,174,3.39,6.66,5.95,4,5,PB,MoonWa00
2,Dan Marino,30,MIA,QB,16,16,8-8-0,318,549,57.9,3970,25,4.6,13,2.4,54,7.2,7.08,12.5,248.1,85.8,27,182,4.69,6.58,6.43,1,3,PB,MariDa00
3,Jim Kelly,31,BUF,QB,15,15,13-2-0,304,474,64.1,3844,33,7.0,17,3.6,77,8.1,7.89,12.6,256.3,97.6,31,227,6.14,7.16,6.95,3,4,PBAP-1AP MVP-2AP OPoY-2,KellJi00
4,Mark Rypien,29,WAS,QB,16,16,14-2-0,249,421,59.1,3564,28,6.7,11,2.6,82,8.5,8.62,14.3,222.8,97.9,7,59,1.64,8.19,8.34,2,5,PBAP-2AP MVP-4AP OPoY-4,RypiMa00
5,Bernie Kosar,28,CLE,QB,16,16,6-10-0,307,494,62.1,3487,18,3.6,9,1.8,71,7.1,6.97,11.4,217.9,87.8,41,232,7.66,6.08,6.00,2,1,,KosaBe00
6,Jim Everett,28,RAM,QB,16,16,3-13-0,277,490,56.5,3438,11,2.2,20,4.1,78,7.0,5.63,12.4,214.9,68.9,30,200,5.77,6.23,4.92,0,0,,EverJi00
7,Ken O'Brien,31,NYJ,QB,16,16,8-8-0,287,489,58.7,3300,10,2.0,11,2.2,53,6.7,6.15,11.5,206.3,76.6,33,273,6.32,5.80,5.23,2,5,PB,OBriKe00
8,John Elway,31,DEN,QB,16,16,12-4-0,242,451,53.7,3253,13,2.9,12,2.7,71,7.2,6.59,13.4,203.3,75.4,45,305,9.07,5.94,5.38,1,4,PB,ElwaJo00
9,Jim Harbaugh,28,CHI,QB,16,16,11-5-0,275,478,57.5,3121,15,3.1,16,3.3,84,6.5,5.65,11.3,195.1,73.7,24,163,4.78,5.89,5.06,3,3,,HarbJi00
10,Chris Miller,26,ATL,QB,15,14,9-5-0,220,413,53.3,3103,26,6.3,18,4.4,80,7.5,6.81,14.1,206.9,80.6,23,145,5.28,6.78,6.12,3,4,PB,MillCh00
